chr1	12058	12178	+	2
chr1	12228	12612	+	1,2
chr1	12698	12974	+	2
chr1	12722	13220	+	1
chr1	13053	13220	+	2
chr1	13375	13452	+	2
chr1	14502	15004	-	3
chr1	15039	15795	-	3
chr1	15948	16606	-	3
chr1	16766	16857	-	3
chr1	17056	17232	-	3
chr1	17369	17605	-	3
chr1	17743	17914	-	3
chr1	18062	18267	-	3
chr1	18367	24737	-	3
chr1	24892	29533	-	3
chr1	30040	30563	+	5
chr1	30668	30975	+	5
chr1	35175	35276	-	7
chr1	35482	35720	-	7
chr1	57654	58699	+	9
chr1	58857	62915	+	9
chr1	65434	65519	+	11
chr1	65574	69036	+	11
chr1	90051	90286	-	13
chr1	91630	92090	-	12
chr1	92241	112699	-	12
chr1	111358	112699	-	12
chr1	112805	120720	-	12
chr1	112805	120774	-	12
chr1	112805	129054	-	12
chr1	120870	120873	-	12
chr1	120933	129054	-	12
chr1	129224	133373	-	12
chr1	139848	140074	-	17
chr1	143012	146385	-	18
chr1	146510	146641	-	18
chr1	146510	155766	-	18
chr1	155832	164262	-	18
chr1	160691	161313	+	20
chr1	164792	165883	-	18
chr1	165943	167958	-	18
chr1	165943	168099	-	18
chr1	168166	168609	-	18
chr1	168166	169048	-	18
chr1	169265	172556	-	18
chr1	172689	173752	-	18
chr1	182747	183131	+	21
chr1	183217	183493	+	21
chr1	183572	183739	+	21
chr1	183902	183980	+	21
chr1	185351	185490	-	22
chr1	185560	186316	-	22
chr1	186470	187128	-	22
chr1	187288	187375	-	22
chr1	187578	187754	-	22
chr1	187891	188129	-	22
chr1	188267	188438	-	22
chr1	188585	188790	-	22
chr1	188903	195262	-	22
chr1	259026	261549	-	24
chr1	259026	264603	-	24
chr1	259026	267302	-	24
chr1	259026	356684	-	24
chr1	261635	267302	-	24
chr1	267057	268121	+	25
chr1	268205	268666	-	24
chr1	268817	289265	-	24
chr1	289371	297344	-	24
chr1	357587	358048	-	24
chr1	358184	359344	-	24
chr1	358930	365170	+	27
chr1	358958	365170	+	27
chr1	360169	365170	+	27
chr1	365693	366018	-	28
chr1	365693	368250	-	28
chr1	365693	373143	-	28
chr1	373324	379768	-	28
chr1	379871	485039	-	28
chr1	476946	485039	-	28
chr1	485209	489360	-	28
chr1	485209	494991	-	28
chr1	485209	497108	-	28
chr1	489388	489716	+	32
chr1	491990	492767	-	33
chr1	494587	496263	-	28
chr1	494899	494991	-	28
chr1	495050	495276	-	28
chr1	495050	497108	-	28
chr1	495050	498683	-	28
chr1	497229	498072	-	28
chr1	497300	498046	-	28
chr1	497300	498072	-	28
chr1	497300	498398	-	28
chr1	497300	501555	-	28
chr1	498306	498398	-	28
chr1	498457	498683	-	28
chr1	498457	501555	-	28
chr1	499370	501555	-	28
chr1	501621	502186	-	28
chr1	501621	502464	-	28
chr1	501621	502861	-	28
chr1	502244	502464	-	28
chr1	502662	504979	-	28
chr1	502956	504979	-	28
chr1	504934	514358	-	28
chr1	505104	514358	-	28
chr1	514424	517155	-	28
chr1	514424	517184	-	28
chr1	517267	522858	-	28
