110	99
12057	12177	0	0	0	1
12227	12611	1	0	2	1
12697	12973	1	0	0	1
12721	13219	1	2	1	1
13052	13219	3	2	3	1
13374	13451	1	0	0	1
14500	15002	0	1	0	2
15038	15794	2	0	2	2
15947	16605	2	0	3	2
16765	16856	2	0	2	2
17055	17231	2	2	4	2
17368	17604	2	3	0	2
17742	17913	2	1	3	2
18061	18266	2	2	2	2
18366	24736	2	2	6	2
24891	29532	2	1	0	2
30039	30562	1	1	0	1
30667	30974	1	2	0	1
35174	35275	2	2	0	2
35481	35719	2	0	5	2
57653	58698	1	2	1	1
58856	62914	1	0	2	1
65433	65518	1	3	0	1
65573	69035	1	3	3	1
90050	90285	2	3	14	2
91629	92089	2	0	2	2
92240	112698	2	0	2	2
111357	112698	2	0	2	2
112804	120719	2	0	0	2
112804	120773	2	0	2	2
112804	129053	2	0	0	2
120867	120870	0	2	1	2
120932	129053	2	0	0	2
129223	133372	2	0	3	2
139847	140073	2	3	2	2
143011	146384	2	0	3	2
146509	146640	2	0	2	2
146509	155765	2	0	5	2
155831	164261	2	0	2	2
160690	161312	1	2	1	1
164791	165882	2	0	2	2
165942	167957	2	0	2	2
165942	168098	2	0	1	2
168165	168608	2	0	1	2
168165	169047	2	0	0	2
169264	172555	2	2	3	2
172688	173751	2	1	1	2
182746	183130	1	0	2	1
183216	183492	1	0	0	1
183571	183738	3	2	3	1
183901	183979	0	0	0	1
185350	185489	2	1	1	2
185559	186315	2	0	2	2
186469	187127	2	0	3	2
187287	187374	2	0	2	2
187577	187753	2	2	4	2
187890	188128	2	3	0	2
188266	188437	2	1	3	2
188584	188789	2	2	2	2
188902	195261	2	1	4	2
259025	261548	2	0	0	2
259025	264602	2	0	3	2
259025	267301	2	0	2	2
259025	356683	2	0	2	2
261634	267301	2	1	2	2
267056	268120	1	2	0	1
268204	268665	2	0	2	2
268816	289264	2	0	2	2
289370	297343	2	0	2	2
357586	358047	2	0	2	2
358183	359343	2	0	1	2
358929	365169	3	2	0	1
358957	365169	3	1	0	1
360168	365169	1	1	0	1
365692	366017	2	1	2	2
365692	368249	2	1	2	2
365692	373142	2	1	1	2
373323	379767	2	1	1	2
379870	485038	2	0	0	2
476945	485038	2	0	0	2
485208	489359	2	0	3	2
485208	494990	2	0	1	2
485208	497107	2	0	0	2
489387	489715	3	1	1	1
491989	492766	0	0	1	2
494586	496262	4	2	3	2
494898	494990	2	0	1	2
495049	495275	2	3	2	2
495049	497107	2	3	0	2
495049	498682	2	3	2	2
497228	498071	2	1	0	2
497299	498045	2	1	2	2
497299	498071	2	1	0	2
497299	498397	2	1	1	2
497299	501554	2	1	3	2
498305	498397	2	0	1	2
498456	498682	2	3	2	2
498456	501554	2	2	4	2
499369	501554	2	0	3	2
501620	502185	2	0	0	2
501620	502463	2	0	2	2
501620	502860	2	0	3	2
502243	502463	2	3	2	2
502661	504978	2	1	2	2
502955	504978	2	0	2	2
504933	514357	2	0	2	2
505103	514357	2	0	5	2
514423	517154	4	0	2	2
514423	517183	2	0	0	2
517266	522857	2	0	2	2
