N_unmapped	249888	249888	249888
N_multimapping	3	3	3
N_noFeature	1	2	2
N_ambiguous	0	0	0
ENSG00000290825.1	0	0	0
ENSG00000223972.6	0	0	0
ENSG00000227232.5	0	0	0
ENSG00000278267.1	0	0	0
ENSG00000243485.5	0	0	0
ENSG00000284332.1	0	0	0
ENSG00000237613.2	0	0	0
ENSG00000268020.3	0	0	0
ENSG00000290826.1	0	0	0
ENSG00000240361.3	0	0	0
ENSG00000186092.7	0	0	0
ENSG00000238009.6	0	0	0
ENSG00000239945.1	0	0	0
ENSG00000233750.3	1	0	1
ENSG00000268903.1	0	0	0
ENSG00000269981.1	0	0	0
ENSG00000239906.1	0	0	0
ENSG00000241860.7	0	0	0
ENSG00000222623.1	0	0	0
ENSG00000241599.1	0	0	0
ENSG00000279928.2	0	0	0
ENSG00000279457.4	0	0	0
ENSG00000273874.1	0	0	0
ENSG00000228463.10	1	1	0
ENSG00000286448.1	0	0	0
ENSG00000236679.2	0	0	0
ENSG00000236601.2	0	0	0
ENSG00000290385.1	0	0	0
ENSG00000269732.1	0	0	0
ENSG00000284733.2	0	0	0
ENSG00000237094.13	0	0	0
ENSG00000233653.3	0	0	0
ENSG00000250575.1	0	0	0
