74
ENST00000456328.2	11868	14408	14408	1	3	0	0
ENST00000450305.2	12009	13669	14408	1	6	3	1
ENST00000488147.1	14403	29569	14408	2	11	9	2
ENST00000619216.1	17368	17435	29569	2	1	20	3
ENST00000473358.1	29553	31096	29569	1	3	21	4
ENST00000469289.1	30266	31108	31096	1	2	24	4
ENST00000607096.1	30365	30502	31108	1	1	26	5
ENST00000417324.1	34553	36080	31108	2	3	27	6
ENST00000461467.1	35244	36072	36080	2	2	30	6
ENST00000606857.1	52472	53311	36080	1	1	32	7
ENST00000642116.1	57597	64115	53311	1	3	33	8
ENST00000492842.2	62948	63886	64115	1	1	36	9
ENST00000641515.2	65418	71584	64115	1	3	37	10
ENST00000466430.5	89294	120931	71584	2	4	40	11
ENST00000495576.1	89550	91104	120931	2	2	44	12
ENST00000477740.5	92229	129216	120931	2	4	46	11
ENST00000471248.1	110952	129172	129216	2	3	50	11
ENST00000610542.1	120724	133722	129216	2	4	53	11
ENST00000453576.2	129080	133565	133722	2	2	57	11
ENST00000442987.3	131024	134835	133722	1	1	59	13
ENST00000494149.2	135140	135894	134835	2	1	60	14
ENST00000595919.1	137681	137964	135894	2	1	61	15
ENST00000493797.1	139789	140338	137964	2	2	62	16
ENST00000484859.1	141473	149706	140338	2	2	64	17
ENST00000490997.5	142807	146830	149706	2	3	66	17
ENST00000466557.6	146385	173861	149706	2	8	69	17
ENST00000410691.1	157783	157886	173861	2	1	77	18
ENST00000496488.1	160445	161524	173861	1	2	78	19
ENST00000662089.1	165490	169209	173861	2	3	80	17
ENST00000491962.1	165888	168766	173861	2	3	83	17
ENST00000655252.1	167128	169239	173861	2	2	86	17
ENST00000624431.2	182695	184173	173861	1	5	88	20
ENST00000623083.4	185216	195410	184173	2	10	93	21
ENST00000612080.1	187890	187957	195410	2	1	103	22
ENST00000442116.1	257863	264732	195410	2	2	104	23
ENST00000448958.2	257912	268815	264732	2	4	106	23
ENST00000441866.2	258143	359680	268815	2	4	110	23
ENST00000634344.2	258523	268815	359680	2	3	114	23
ENST00000450734.1	258567	259023	359680	2	1	117	23
ENST00000424587.7	263014	297501	359680	2	4	118	23
ENST00000669836.1	266854	268654	359680	1	2	122	24
ENST00000458203.2	347981	348365	359680	2	1	124	25
ENST00000450983.1	358856	365703	359680	1	2	125	26
ENST00000412666.1	358871	365509	365703	1	2	127	26
ENST00000635159.1	360056	366051	365703	1	2	129	26
ENST00000431321.2	365388	366150	366051	2	2	131	27
ENST00000453935.1	365394	368449	366150	2	2	133	27
ENST00000440163.1	365614	379971	368449	2	3	135	27
ENST00000455207.5	373181	485207	379971	2	3	138	27
ENST00000437905.2	439869	440231	485207	1	1	141	28
ENST00000426406.4	450739	451677	485207	2	1	142	29
ENST00000455464.7	476363	497258	485207	2	3	143	27
ENST00000601814.5	484831	495475	497258	2	3	146	27
ENST00000445840.2	485025	485207	497258	2	1	149	30
ENST00000431812.1	485065	489552	497258	2	2	150	27
ENST00000432723.3	487100	489905	497258	1	2	152	31
ENST00000514436.1	491224	493240	497258	2	2	154	32
ENST00000419160.4	494381	496604	497258	2	2	156	27
ENST00000440038.7	494463	502507	497258	2	5	158	27
ENST00000642074.1	494474	495367	502507	2	3	163	27
ENST00000423728.6	494610	499174	502507	2	3	166	27
ENST00000616311.5	494770	498975	502507	2	5	169	27
ENST00000599771.6	497133	498455	502507	2	3	174	27
ENST00000641845.1	497204	502597	502507	2	6	177	27
ENST00000641916.1	497209	502872	502597	2	4	183	27
ENST00000601486.5	497239	499001	502872	2	4	187	27
ENST00000641579.1	497244	502597	502872	2	5	191	27
ENST00000616947.2	497274	498975	502872	2	2	196	27
ENST00000432964.1	498280	499174	502872	2	3	198	27
ENST00000608420.1	498983	501606	502872	2	2	201	27
ENST00000641303.1	501587	517251	502872	2	5	203	27
ENST00000641063.1	501603	517224	517251	2	5	208	27
ENST00000641049.1	504469	514412	517251	2	2	213	27
ENST00000642124.1	504864	522927	517251	2	4	215	27
